run,seed,1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,284
1,440,0.0845,0.9476,0.9476,0.951,0.9392,0.9291,0.9426,0.9527,0.9544,0.951,0.9443,0.9527,0.9527,0.9476,0.9476,0.9527,0.9409,0.951,0.9476,0.9527,0.951,0.9459,0.9358,0.9527,0.951,0.9527,0.9476,0.9493,0.9476,0.9493
0,29,0.1351,0.9257,0.9409,0.9476,0.9426,0.9459,0.9426,0.9426,0.9375,0.9426,0.9426,0.9443,0.9527,0.9375,0.9392,0.9392,0.9459,0.9476,0.9443,0.9493,0.9459,0.9443,0.9476,0.9409,0.9426,0.9493,0.9443,0.9443,0.9527,0.951
4,222,0.1115,0.951,0.9476,0.9493,0.9527,0.9527,0.9544,0.9595,0.9561,0.9628,0.9578,0.9578,0.9578,0.9561,0.9595,0.9595,0.9595,0.9595,0.9544,0.9561,0.9611,0.9595,0.9578,0.9595,0.9578,0.9595,0.9578,0.9611,0.9611,0.9628
3,286,0.1284,0.9358,0.9662,0.9578,0.9493,0.9476,0.9476,0.9527,0.9493,0.9493,0.9459,0.9409,0.9561,0.9527,0.9544,0.9544,0.9578,0.9544,0.9561,0.9544,0.9544,0.9561,0.9578,0.9544,0.9595,0.9544,0.9662,0.9662,0.9595,0.9595
6,817,0.1014,0.9426,0.9527,0.951,0.951,0.951,0.9544,0.9476,0.9476,0.9493,0.951,0.9595,0.9493,0.9426,0.9443,0.9493,0.9493,0.9459,0.9409,0.9459,0.9426,0.9426,0.9443,0.9476,0.9476,0.9459,0.9409,0.9476,0.9459,0.9493
7,925,0.1334,0.9459,0.9375,0.9307,0.9307,0.9426,0.9341,0.9375,0.9375,0.9459,0.9476,0.9392,0.9409,0.9426,0.9392,0.9392,0.9409,0.9375,0.9426,0.9443,0.9375,0.9443,0.9443,0.9358,0.9426,0.9409,0.9324,0.9274,0.9307,0.9341
9,64,0.1014,0.9409,0.9392,0.9392,0.9544,0.9459,0.9476,0.9459,0.951,0.9459,0.9493,0.9493,0.9527,0.9578,0.9578,0.9544,0.951,0.9611,0.9595,0.9611,0.9595,0.9527,0.9476,0.9493,0.951,0.9493,0.951,0.9459,0.9476,0.9544
5,993,0.1216,0.9392,0.951,0.9561,0.951,0.9561,0.951,0.9561,0.9493,0.9527,0.9409,0.9527,0.9561,0.9595,0.9544,0.9527,0.9527,0.9493,0.951,0.951,0.9409,0.9527,0.9544,0.9544,0.951,0.951,0.951,0.9493,0.9476,0.951
8,118,0.1166,0.9341,0.9409,0.9561,0.9426,0.9392,0.9459,0.951,0.9459,0.9493,0.9459,0.9476,0.9493,0.9527,0.9493,0.9476,0.9459,0.9459,0.9443,0.9476,0.9544,0.951,0.9476,0.9443,0.9476,0.9527,0.9459,0.9443,0.9459,0.9443
