run,seed,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,284,
0,272,0.5095,0.7073,0.7511,0.8097,0.8469,0.8396,0.8512,0.8312,0.879,0.899,0.8845,0.8837,0.8814,0.906,0.8686,0.8671,0.8862,0.8834,0.8768,
1,155,0.4789,0.7665,0.846,0.8744,0.9129,0.8951,0.8974,0.9041,0.9043,0.9087,0.9217,0.9187,0.926,0.9115,0.9081,0.9008,0.9083,0.9041,0.9416,
2,985,0.5513,0.7937,0.8603,0.8693,0.9072,0.9174,0.926,0.924,0.9142,0.9124,0.9318,0.9233,0.9216,0.9297,0.9153,0.8984,0.9064,0.9217,0.9359,
3,273,0.568,0.777,0.8257,0.823,0.8605,0.8473,0.8372,0.8518,0.8566,0.8518,0.869,0.8651,0.877,0.8901,0.8878,0.8961,0.8824,0.8922,0.9117,
4,241,0.5626,0.7597,0.8294,0.8829,0.905,0.8668,0.87,0.8732,0.8925,0.9044,0.9044,0.9117,0.9055,0.9111,0.9233,0.8975,0.8985,0.913,0.9218,
5,895,0.5477,0.7444,0.8206,0.8472,0.8963,0.8874,0.9085,0.8922,0.9058,0.9193,0.9016,0.9017,0.9067,0.907,0.878,0.8884,0.9059,0.8959,0.8969,
6,148,0.5553,0.7838,0.8502,0.8875,0.8883,0.8997,0.8915,0.9162,0.9201,0.9152,0.9013,0.9154,0.9078,0.9106,0.9189,0.9267,0.9252,0.9412,0.9514,
7,968,0.4729,0.7239,0.8202,0.8394,0.8611,0.8643,0.8982,0.8728,0.8982,0.8983,0.9062,0.9148,0.9108,0.9064,0.8909,0.8936,0.8889,0.8985,0.9,
8,358,0.5771,0.7748,0.8027,0.8682,0.8897,0.8666,0.8888,0.9104,0.9261,0.8936,0.9244,0.8836,0.909,0.8971,0.9195,0.9266,0.9325,0.9402,0.9109,
9,922,0.5557,0.7914,0.8379,0.8645,0.8678,0.8725,0.8806,0.872,0.8695,0.8779,0.8884,0.8946,0.8892,0.8784,0.887,0.9046,0.8919,0.8783,0.908,
10,704,0.5337,0.7916,0.8238,0.8678,0.8976,0.9091,0.9096,0.9254,0.8962,0.9149,0.8927,0.8859,0.8909,0.8761,0.8651,0.8801,0.9052,0.9054,0.8893,
11,728,0.5429,0.7859,0.861,0.8978,0.8931,0.8937,0.8956,0.9226,0.9175,0.9143,0.9107,0.9206,0.9174,0.921,0.9035,0.9024,0.9152,0.9161,0.9165,
12,624,0.5489,0.8305,0.8758,0.902,0.8989,0.9222,0.9105,0.9163,0.9111,0.9144,0.8887,0.9022,0.9006,0.9125,0.9303,0.9216,0.9108,0.899,0.9437,
13,348,0.5593,0.7731,0.8277,0.8955,0.897,0.8761,0.8756,0.8756,0.8977,0.894,0.9204,0.8948,0.8954,0.8814,0.8881,0.8895,0.9025,0.8954,0.9158,
14,759,0.55,0.7593,0.8241,0.8364,0.8894,0.8826,0.8802,0.8911,0.919,0.8915,0.9039,0.9088,0.9103,0.8893,0.8993,0.9039,0.9072,0.92,0.9343,
15,105,0.5295,0.7517,0.808,0.8498,0.8524,0.8573,0.872,0.853,0.868,0.8614,0.8649,0.8633,0.8577,0.8475,0.8344,0.8476,0.8579,0.8533,0.9009,
16,122,0.5654,0.7883,0.8515,0.8728,0.894,0.9165,0.932,0.9314,0.9256,0.9145,0.9185,0.9199,0.923,0.9191,0.9281,0.91,0.9202,0.9319,0.9162,
17,125,0.5449,0.7732,0.8393,0.8793,0.8762,0.8987,0.9104,0.9098,0.9099,0.9289,0.9419,0.9285,0.9187,0.9228,0.9343,0.9365,0.9422,0.9437,0.9499,
18,577,0.4798,0.7783,0.8175,0.8357,0.8664,0.8886,0.8747,0.8866,0.896,0.9057,0.9001,0.9041,0.9126,0.9173,0.8998,0.9174,0.9075,0.9089,0.9265,
19,15,0.5121,0.7994,0.8585,0.8657,0.8729,0.8764,0.8884,0.8754,0.8921,0.8866,0.8972,0.8948,0.9042,0.9051,0.8956,0.8984,0.8674,0.8776,0.9157,
20,689,0.5375,0.7684,0.8266,0.8862,0.8953,0.8785,0.8904,0.9078,0.885,0.8899,0.8993,0.9017,0.9225,0.9243,0.9198,0.9136,0.9082,0.924,0.9344,
21,653,0.5412,0.787,0.8633,0.891,0.8885,0.8848,0.9034,0.9133,0.9079,0.9046,0.9101,0.9157,0.8986,0.8964,0.9016,0.9176,0.9224,0.9378,0.9352,
22,441,0.5189,0.755,0.8432,0.8552,0.8634,0.8628,0.8777,0.8873,0.8883,0.8804,0.8938,0.8828,0.8816,0.8817,0.9003,0.9105,0.9107,0.9077,0.9017,
23,944,0.5795,0.7777,0.8656,0.8876,0.8763,0.8732,0.8775,0.8714,0.8862,0.8746,0.8767,0.8805,0.8716,0.8857,0.8989,0.8991,0.9113,0.9091,0.896,
24,676,0.5238,0.7756,0.793,0.8679,0.8695,0.8876,0.9127,0.8806,0.9013,0.9033,0.9138,0.9042,0.9032,0.915,0.9037,0.9106,0.8925,0.9001,0.9161,
25,401,0.522,0.7171,0.7574,0.7778,0.8323,0.8313,0.8583,0.8557,0.8602,0.8658,0.8761,0.8802,0.8727,0.8764,0.9066,0.9099,0.8879,0.8965,0.887,
26,205,0.5484,0.7922,0.8598,0.8757,0.91,0.9244,0.9219,0.9128,0.9256,0.9087,0.921,0.9241,0.9231,0.93,0.9312,0.9363,0.925,0.9291,0.9309,
28,814,0.5646,0.7944,0.8389,0.8533,0.8863,0.868,0.8831,0.8926,0.9172,0.9066,0.9056,0.9043,0.9082,0.9101,0.9015,0.8998,0.892,0.8935,0.9349,
27,602,0.5167,0.7478,0.7777,0.7993,0.8409,0.861,0.8508,0.8671,0.8778,0.8875,0.878,0.8781,0.8747,0.8915,0.8756,0.8773,0.8816,0.8839,0.8762,
29,723,0.5192,0.7453,0.7922,0.8292,0.8887,0.8872,0.8961,0.8557,0.8757,0.8861,0.8893,0.8685,0.8742,0.8902,0.8869,0.9003,0.9024,0.903,0.8997,
