run,seed,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,284
14,759,0.5794,0.826,0.8733,0.9003,0.9223,0.9291,0.9257,0.9392,0.9476,0.9324,0.9358,0.9358,0.9409,0.9341,0.9409,0.9476,0.9443,0.951,0.9578
15,105,0.5507,0.8074,0.8767,0.9003,0.9105,0.9139,0.9206,0.9155,0.9223,0.9139,0.9274,0.924,0.924,0.9122,0.9139,0.9105,0.9324,0.9257,0.9443
16,122,0.5845,0.8294,0.8919,0.9088,0.9307,0.9375,0.9476,0.9426,0.9426,0.9392,0.9493,0.9459,0.9443,0.9493,0.9476,0.9392,0.9527,0.9544,0.9527
17,125,0.5878,0.8176,0.8733,0.9071,0.9189,0.924,0.9291,0.9274,0.9358,0.9426,0.9476,0.9426,0.9476,0.9443,0.9561,0.9527,0.9578,0.9611,0.9595
18,577,0.549,0.8159,0.8801,0.8868,0.9037,0.9189,0.9122,0.9155,0.9206,0.9324,0.9392,0.9443,0.9409,0.9459,0.9341,0.9493,0.9459,0.9443,0.9544
19,15,0.5422,0.8429,0.8936,0.9139,0.9122,0.9155,0.924,0.9223,0.9375,0.9291,0.9392,0.9392,0.9443,0.9409,0.9392,0.9375,0.9307,0.9426,0.9544
20,689,0.5676,0.8193,0.8851,0.9155,0.9274,0.9105,0.9291,0.9341,0.9223,0.9324,0.9409,0.9443,0.9493,0.9459,0.9476,0.9426,0.9375,0.9459,0.9493
21,653,0.5929,0.8125,0.897,0.9274,0.9358,0.9409,0.9409,0.9493,0.9544,0.9527,0.9544,0.9595,0.9493,0.9527,0.9544,0.9561,0.9611,0.9662,0.9628
22,441,0.5743,0.8209,0.8919,0.9088,0.9105,0.9139,0.9291,0.9324,0.9358,0.9341,0.9375,0.9341,0.9358,0.9341,0.9426,0.9476,0.951,0.951,0.9459
23,944,0.5861,0.8209,0.9037,0.9223,0.9071,0.9105,0.9172,0.9189,0.9324,0.9274,0.924,0.9324,0.9206,0.9324,0.9341,0.9307,0.9426,0.9375,0.9324
24,676,0.5709,0.8294,0.8699,0.9172,0.9223,0.9291,0.9476,0.9409,0.9476,0.9493,0.9561,0.951,0.9527,0.9459,0.9409,0.9392,0.9476,0.9443,0.9611
25,401,0.5659,0.7956,0.853,0.8733,0.8986,0.8885,0.9088,0.902,0.902,0.9122,0.9206,0.9206,0.9189,0.9223,0.9375,0.9392,0.9257,0.9307,0.9274
26,205,0.5726,0.8378,0.9071,0.9274,0.9358,0.9409,0.9459,0.9459,0.9476,0.9426,0.9493,0.9527,0.9595,0.9527,0.9493,0.9544,0.9527,0.9527,0.9578
28,814,0.5912,0.8142,0.8953,0.9105,0.9375,0.9341,0.9341,0.9392,0.9443,0.9409,0.9409,0.9392,0.9443,0.9443,0.9493,0.951,0.9476,0.951,0.9611
27,602,0.5557,0.8294,0.8716,0.8818,0.9037,0.9139,0.9139,0.9274,0.9291,0.9375,0.9307,0.924,0.9341,0.9426,0.9341,0.9375,0.9392,0.9375,0.9459
29,723,0.5709,0.8024,0.8784,0.8885,0.9291,0.9392,0.9375,0.924,0.9324,0.9341,0.9341,0.9257,0.9291,0.9375,0.9392,0.9459,0.9476,0.9493,0.9527
30,494,0.576,0.8294,0.8885,0.9172,0.9375,0.9274,0.9307,0.9375,0.9375,0.9426,0.9409,0.9443,0.9409,0.9527,0.951,0.9443,0.9459,0.9443,0.9595
32,396,0.5676,0.8277,0.8834,0.8986,0.9105,0.9071,0.9291,0.9358,0.9459,0.9459,0.9426,0.9459,0.9392,0.9358,0.951,0.9493,0.9595,0.9544,0.9527
31,699,0.5845,0.7973,0.8547,0.9172,0.9257,0.9375,0.9459,0.9392,0.9375,0.9443,0.9409,0.9426,0.9392,0.9358,0.9409,0.9443,0.9341,0.9443,0.9696
33,514,0.549,0.8125,0.8767,0.9105,0.9189,0.9324,0.9341,0.9426,0.9358,0.9274,0.9341,0.9409,0.9426,0.9274,0.9409,0.9375,0.9443,0.9426,0.9493
34,725,0.5642,0.848,0.8767,0.9037,0.9155,0.9155,0.924,0.9392,0.924,0.9274,0.9375,0.9476,0.9341,0.9409,0.9341,0.9476,0.9527,0.9443,0.9611
35,124,0.6115,0.826,0.9088,0.9257,0.9409,0.9409,0.9392,0.9291,0.9392,0.9375,0.9375,0.951,0.9493,0.9527,0.9595,0.9544,0.9595,0.9611,0.9578
36,477,0.5878,0.826,0.9003,0.9139,0.924,0.9375,0.9443,0.9459,0.9476,0.9409,0.9459,0.9561,0.9527,0.9561,0.9544,0.9459,0.9544,0.9459,0.9459
37,596,0.5676,0.8328,0.897,0.9291,0.9426,0.9307,0.9476,0.9426,0.9426,0.9459,0.9409,0.951,0.9476,0.9544,0.951,0.9544,0.9459,0.9578,0.9459
38,364,0.5659,0.8226,0.8615,0.8868,0.9189,0.9155,0.9122,0.9172,0.9206,0.9307,0.9358,0.9426,0.9392,0.9375,0.9324,0.9392,0.9375,0.9307,0.951
39,795,0.5574,0.8226,0.8767,0.8953,0.897,0.9071,0.9122,0.9341,0.924,0.9155,0.9274,0.9257,0.9155,0.9307,0.9257,0.9274,0.9341,0.9375,0.9257
40,751,0.5709,0.8142,0.8851,0.9003,0.9172,0.9054,0.9155,0.9223,0.9206,0.9274,0.9375,0.9324,0.9409,0.9341,0.9324,0.9307,0.9274,0.9307,0.9561
41,900,0.5541,0.8108,0.8902,0.8953,0.9003,0.9054,0.9223,0.9341,0.9375,0.9341,0.9493,0.9392,0.9409,0.9409,0.9409,0.9358,0.9375,0.9409,0.9493
42,583,0.5625,0.8142,0.8784,0.9003,0.9206,0.9274,0.9291,0.9324,0.9358,0.9307,0.9375,0.9493,0.9493,0.9476,0.9527,0.9544,0.9476,0.9527,0.9611
43,321,0.5895,0.8007,0.8834,0.9071,0.9139,0.9257,0.9206,0.9139,0.9223,0.9341,0.9206,0.9324,0.9392,0.9375,0.9426,0.9392,0.9409,0.9409,0.9611
44,200,0.603,0.8497,0.8919,0.9341,0.9392,0.9375,0.9324,0.9493,0.9527,0.9578,0.9628,0.9527,0.9544,0.9544,0.9611,0.951,0.9561,0.9561,0.9645
45,703,0.5541,0.8209,0.8986,0.9105,0.9206,0.924,0.9358,0.9291,0.9291,0.9375,0.9358,0.9493,0.951,0.9443,0.9426,0.9392,0.9459,0.9493,0.9544
46,25,0.5794,0.8429,0.8868,0.9003,0.9172,0.9375,0.9324,0.9358,0.9358,0.9291,0.9476,0.9341,0.9291,0.9274,0.9257,0.9409,0.9257,0.9392,0.9426
47,766,0.5524,0.7905,0.8649,0.8885,0.9003,0.9071,0.9105,0.9189,0.9307,0.9324,0.9307,0.9274,0.9223,0.9324,0.924,0.9206,0.924,0.9274,0.9324
48,896,0.576,0.826,0.8868,0.9105,0.9088,0.9223,0.9291,0.9291,0.9307,0.9392,0.9443,0.9443,0.9426,0.9375,0.9409,0.9561,0.9443,0.9476,0.9628
49,264,0.5203,0.8176,0.8801,0.8986,0.9257,0.9189,0.9172,0.9223,0.9443,0.9426,0.9443,0.9426,0.9426,0.9493,0.9459,0.9392,0.9443,0.9459,0.9628
2,218,0.5676,0.7855,0.8615,0.9105,0.9155,0.9291,0.9274,0.924,0.9324,0.9459,0.9257,0.9341,0.9392,0.9392,0.9324,0.9341,0.9392,0.9426,0.9476
9,925,0.5794,0.8328,0.8733,0.9139,0.9223,0.9257,0.9341,0.9392,0.9443,0.9459,0.9561,0.951,0.951,0.9443,0.9493,0.9476,0.9493,0.9476,0.9341
4,253,0.5845,0.7872,0.8834,0.9003,0.902,0.9003,0.9139,0.9257,0.9409,0.9476,0.9476,0.9392,0.9392,0.9324,0.9476,0.951,0.9476,0.9527,0.9611
6,210,0.5389,0.8176,0.8919,0.9206,0.9257,0.9409,0.9307,0.9409,0.9459,0.9578,0.9527,0.9561,0.9611,0.9561,0.9578,0.9443,0.951,0.9578,0.951
5,573,0.576,0.7838,0.8784,0.8902,0.9088,0.9105,0.9189,0.9274,0.9206,0.9324,0.9443,0.9409,0.9324,0.9409,0.9392,0.9426,0.9476,0.9409,0.9544
1,293,0.5541,0.8041,0.8733,0.8818,0.9172,0.9155,0.9223,0.9274,0.9409,0.9476,0.9443,0.9443,0.9358,0.9409,0.9358,0.9358,0.9155,0.9291,0.951
0,749,0.5625,0.8108,0.8885,0.9071,0.9291,0.9358,0.9257,0.9206,0.9443,0.9223,0.9307,0.9358,0.9274,0.9392,0.9409,0.9459,0.9544,0.9544,0.9544
3,746,0.5659,0.8345,0.8716,0.8953,0.9071,0.902,0.9189,0.9206,0.9324,0.9392,0.9476,0.9375,0.9476,0.9409,0.9443,0.9358,0.9459,0.9375,0.9375
8,333,0.6014,0.8125,0.8801,0.9054,0.924,0.9324,0.9426,0.9493,0.9341,0.9307,0.924,0.9223,0.9291,0.9392,0.9341,0.9443,0.9341,0.9375,0.9645
7,549,0.5963,0.8193,0.8615,0.8936,0.9172,0.9324,0.9358,0.924,0.9341,0.9375,0.9291,0.9409,0.9426,0.9358,0.9443,0.9493,0.9426,0.9493,0.9578
11,661,0.5895,0.8345,0.897,0.8834,0.9088,0.9155,0.9274,0.9307,0.9358,0.9307,0.924,0.9307,0.9409,0.9392,0.9375,0.9291,0.9324,0.9392,0.9392
10,524,0.5625,0.8497,0.8936,0.9105,0.9155,0.9324,0.9324,0.9459,0.9409,0.9426,0.9561,0.9578,0.9459,0.9493,0.9392,0.951,0.9409,0.9527,0.9662
13,949,0.5743,0.7922,0.8767,0.8902,0.9071,0.9223,0.9206,0.9206,0.9054,0.9274,0.9291,0.9324,0.9375,0.9459,0.9307,0.9324,0.9341,0.9527,0.9476
12,282,0.5946,0.8361,0.9105,0.9139,0.9223,0.9426,0.9443,0.9409,0.9459,0.9476,0.9459,0.9561,0.9527,0.9628,0.9578,0.9578,0.9527,0.9544,0.951
,,,,,,,,,,,,,,,,,,,,
,,0.571658,0.819092,0.883074,0.905002,0.91848,0.923212,0.92845,0.931284,0.934928,0.93662,0.939562,0.940916,0.940612,0.941452,0.942028,0.942668,0.943306,0.945744,0.95205
,,0.017779641,0.016340622,0.013353079,0.013653593,0.011625231,0.012962618,0.010837144,0.010684781,0.010907778,0.009875829,0.009996317,0.009896532,0.010060251,0.009362804,0.009792774,0.009490194,0.010018611,0.009151615,0.010085083
