run,seed,1,11,21,31,41,51,61,71,81,91,101,111,121,131,141,151,161,171,181,191,201,211,221,231,241,251,261,271,281,284
2,662,0.0813,0.8637,0.9068,0.8943,0.888,0.8788,0.8865,0.8911,0.8893,0.8784,0.8862,0.8914,0.8974,0.8967,0.9088,0.9004,0.8932,0.8921,0.895,0.8934,0.8949,0.9031,0.9009,0.9083,0.906,0.9137,0.9181,0.9117,0.911,0.9094
6,178,0.0924,0.9079,0.9322,0.9153,0.9181,0.9095,0.9145,0.9207,0.9214,0.9211,0.9168,0.9236,0.9185,0.9227,0.9209,0.918,0.9187,0.9273,0.9258,0.9252,0.9295,0.9405,0.9329,0.9284,0.9278,0.925,0.925,0.9252,0.9225,0.924
15,305,0.0817,0.909,0.9423,0.9265,0.9239,0.9354,0.9306,0.9372,0.9391,0.9365,0.9371,0.9315,0.93,0.9267,0.9388,0.9477,0.9459,0.9458,0.944,0.9518,0.938,0.9385,0.9425,0.9393,0.9432,0.9456,0.9287,0.9431,0.9418,0.9367
9,423,0.1087,0.9175,0.9287,0.9026,0.9036,0.9133,0.9053,0.8981,0.924,0.897,0.894,0.9072,0.9021,0.9152,0.9183,0.9202,0.9183,0.9198,0.9173,0.9194,0.9188,0.9181,0.9236,0.9167,0.9215,0.9215,0.9217,0.9224,0.9205,0.92
18,807,0.1031,0.89,0.9198,0.925,0.9028,0.9045,0.9302,0.9268,0.9385,0.9311,0.9345,0.9353,0.9342,0.9337,0.9369,0.9357,0.933,0.9405,0.9407,0.9416,0.9422,0.9416,0.9406,0.9392,0.9342,0.9395,0.9495,0.942,0.9287,0.929
14,726,0.0983,0.8944,0.9049,0.9211,0.8897,0.9024,0.8983,0.9092,0.9246,0.9267,0.9244,0.9209,0.9108,0.9105,0.9205,0.9178,0.9129,0.9139,0.9183,0.9306,0.9377,0.927,0.9296,0.9223,0.9272,0.9327,0.9292,0.927,0.9256,0.9231
10,250,0.089,0.8746,0.8918,0.9074,0.9202,0.919,0.9064,0.9259,0.9274,0.9202,0.9192,0.9207,0.928,0.8911,0.9095,0.8954,0.9173,0.9209,0.928,0.9271,0.9368,0.93,0.9295,0.9171,0.9183,0.9252,0.9215,0.9312,0.926,0.9235
16,697,0.0952,0.9145,0.9314,0.928,0.9413,0.9293,0.9291,0.9161,0.9279,0.9332,0.939,0.9374,0.9383,0.9362,0.9352,0.9476,0.9505,0.9515,0.9454,0.9479,0.9407,0.937,0.9362,0.9446,0.9485,0.9312,0.9396,0.9465,0.9419,0.9413
3,466,0.0915,0.9047,0.9108,0.9022,0.8845,0.8762,0.8779,0.8781,0.8837,0.8604,0.8598,0.8579,0.8739,0.882,0.8946,0.892,0.8787,0.8922,0.8941,0.9021,0.9045,0.9112,0.9065,0.9199,0.9272,0.9171,0.9191,0.9159,0.9204,0.9211
7,498,0.0803,0.9043,0.89,0.8856,0.8851,0.8772,0.8726,0.8774,0.8816,0.876,0.8843,0.8838,0.8908,0.8876,0.8919,0.8897,0.8868,0.899,0.9063,0.8994,0.903,0.9004,0.8964,0.8937,0.8911,0.8989,0.8989,0.8994,0.8948,0.8952
13,397,0.1012,0.8637,0.904,0.9126,0.9058,0.911,0.9037,0.9254,0.9287,0.9162,0.9148,0.9139,0.8973,0.9121,0.9111,0.9054,0.9067,0.9082,0.8986,0.8929,0.8989,0.9037,0.91,0.896,0.9269,0.9151,0.9205,0.9251,0.9189,0.9187
12,472,0.0809,0.858,0.8944,0.9035,0.8891,0.8872,0.9038,0.8944,0.9005,0.8996,0.8959,0.9118,0.9062,0.9032,0.9151,0.911,0.9141,0.9235,0.9205,0.923,0.9202,0.92,0.912,0.9119,0.9175,0.9303,0.9308,0.929,0.9364,0.9262
17,182,0.0999,0.9114,0.9402,0.9029,0.8993,0.8849,0.8858,0.8846,0.9024,0.9026,0.9064,0.919,0.9082,0.9227,0.9027,0.9106,0.8906,0.9086,0.9094,0.9062,0.9297,0.9125,0.9054,0.8998,0.9011,0.9024,0.9233,0.9261,0.9239,0.9325
5,207,0.1003,0.8676,0.8703,0.8733,0.8988,0.8613,0.8832,0.9019,0.8855,0.8977,0.8925,0.8977,0.9043,0.9083,0.9214,0.9244,0.9343,0.9272,0.9082,0.9222,0.9256,0.924,0.9124,0.9098,0.9082,0.9153,0.907,0.9111,0.9157,0.9196
4,221,0.1092,0.8661,0.872,0.8802,0.8828,0.8877,0.8875,0.9066,0.8916,0.8906,0.8906,0.8823,0.8739,0.8918,0.8839,0.8844,0.8716,0.8948,0.893,0.8907,0.8851,0.8938,0.8945,0.8898,0.8867,0.8828,0.8913,0.8915,0.885,0.8874
1,537,0.09,0.9118,0.9226,0.8888,0.8725,0.8985,0.9012,0.9063,0.8997,0.9147,0.9329,0.9314,0.9292,0.9097,0.9354,0.9275,0.9327,0.9338,0.9351,0.9272,0.932,0.932,0.9295,0.9265,0.9374,0.9384,0.9408,0.9331,0.9405,0.932
19,747,0.0864,0.891,0.9184,0.9219,0.9338,0.9301,0.9337,0.9302,0.9253,0.9212,0.9271,0.9458,0.9341,0.9268,0.9271,0.9272,0.9406,0.9347,0.927,0.9389,0.9275,0.9321,0.9269,0.9193,0.9238,0.9293,0.9271,0.9251,0.9245,0.9184
11,671,0.1066,0.9097,0.9241,0.9166,0.9033,0.9229,0.9153,0.9196,0.9249,0.9209,0.9322,0.9312,0.9347,0.9438,0.9382,0.9437,0.9391,0.9288,0.9269,0.9279,0.918,0.9175,0.9105,0.9216,0.9239,0.9177,0.9179,0.9262,0.9202,0.919
